iter	Logloss	Accuracy
0	0.6867045873	0.8155230596
1	0.6802631184	0.8323959505
2	0.6747679916	0.8200224972
3	0.6693243795	0.8267716535
4	0.6640452802	0.8233970754
5	0.6590717178	0.8267716535
6	0.6542505233	0.8233970754
7	0.6492697824	0.8233970754
8	0.64518093	0.8278965129
9	0.6403144237	0.822272216
10	0.6355621082	0.8211473566
11	0.6305167782	0.822272216
12	0.6256577019	0.8200224972
13	0.6208335771	0.8188976378
14	0.6160127436	0.8200224972
15	0.6112614951	0.8200224972
16	0.607401002	0.8211473566
17	0.6030785149	0.8200224972
18	0.599167309	0.8200224972
19	0.5955762316	0.8211473566
20	0.591513455	0.8245219348
21	0.5877703629	0.8245219348
22	0.5845577441	0.8245219348
23	0.5811221393	0.8245219348
24	0.5774454253	0.8267716535
25	0.5744482938	0.8290213723
26	0.571017384	0.8301462317
27	0.567445688	0.8346456693
28	0.5641746977	0.8357705287
29	0.5612105662	0.8346456693
30	0.5578014194	0.8380202475
31	0.5546765803	0.8368953881
32	0.5519216514	0.8368953881
33	0.5490499311	0.8368953881
34	0.5462130342	0.8380202475
35	0.5444821092	0.8380202475
36	0.5415224577	0.8368953881
37	0.5389776711	0.8357705287
38	0.536739338	0.8357705287
39	0.5339064429	0.8368953881
40	0.531248053	0.8357705287
41	0.5284340166	0.8357705287
42	0.525418353	0.8368953881
43	0.5227243068	0.8368953881
44	0.5198886018	0.8380202475
45	0.5173987802	0.8368953881
46	0.5144547062	0.8391451069
47	0.5120333046	0.8380202475
48	0.5097555351	0.8380202475
49	0.5083905035	0.8380202475
50	0.5064159568	0.8391451069
51	0.5040737824	0.8391451069
52	0.5017935344	0.8391451069
53	0.4996759473	0.8402699663
54	0.4972902005	0.8391451069
55	0.4949986562	0.8391451069
56	0.4938988616	0.8391451069
57	0.4918315532	0.8402699663
58	0.4906053647	0.8380202475
59	0.4882976529	0.8413948256
60	0.4865891382	0.8413948256
61	0.4848879668	0.8413948256
62	0.4833405888	0.8413948256
63	0.48232271	0.8413948256
64	0.4805822591	0.8413948256
65	0.4791144441	0.8413948256
66	0.4771957573	0.842519685
67	0.4755123975	0.842519685
68	0.4736876677	0.842519685
69	0.4720982917	0.8413948256
70	0.4709898048	0.8413948256
71	0.46966177	0.8413948256
72	0.4683104526	0.8402699663
73	0.4669332589	0.8402699663
74	0.4655136332	0.8402699663
75	0.4638528061	0.8402699663
76	0.4622988274	0.8402699663
77	0.4608704835	0.8402699663
78	0.4593082249	0.8402699663
79	0.458476358	0.8402699663
80	0.457782417	0.8413948256
81	0.4563515632	0.8402699663
82	0.4550195893	0.8413948256
83	0.4537181845	0.8413948256
84	0.452677706	0.8380202475
85	0.4514319654	0.8402699663
86	0.4505903611	0.8391451069
87	0.4494048143	0.842519685
88	0.4481651533	0.8413948256
89	0.4468962163	0.842519685
90	0.4457233054	0.8413948256
91	0.4445741081	0.8413948256
92	0.4437193854	0.8413948256
93	0.4426912707	0.8413948256
94	0.4417175519	0.8413948256
95	0.4406762749	0.8413948256
96	0.4397474056	0.8413948256
97	0.4387009758	0.8413948256
98	0.4375562239	0.8413948256
99	0.4368483767	0.8413948256
100	0.4360740313	0.8402699663
