iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	258	340	258	340	258	340	340
1	258	338	258	340	258	338	340
2	256	332	256	340	256	332	340
3	254	320	254	340	254	320	340
4	255	319	255	340	255	319	340
5	254	316	254	340	254	316	340
6	254	316	254	340	254	316	340
7	254	316	254	340	254	316	340
8	254	316	254	340	254	316	340
9	254	316	254	340	254	316	340
10	254	316	254	340	254	316	340
11	254	316	254	340	254	316	340
12	254	316	254	340	254	316	340
13	254	316	254	340	254	316	340
14	254	316	254	340	254	316	340
15	254	316	254	340	254	316	340
16	254	316	254	340	254	316	340
17	254	316	254	340	254	316	340
18	254	316	254	340	254	316	340
19	254	316	254	340	254	316	340
20	254	316	254	340	254	316	340
21	254	316	254	340	254	316	340
22	254	316	254	340	254	316	340
23	254	316	254	340	254	316	340
24	253	314	253	340	253	314	340
25	253	314	253	340	253	314	340
26	253	314	253	340	253	314	340
27	253	314	253	340	253	314	340
28	253	314	253	340	253	314	340
29	253	313	253	340	253	313	340
30	253	312	253	340	253	312	340
31	253	312	253	340	253	312	340
32	253	313	253	340	253	313	340
33	253	313	253	340	253	313	340
34	253	313	253	340	253	313	340
35	253	313	253	340	253	313	340
36	253	313	253	340	253	313	340
37	253	313	253	340	253	313	340
38	253	313	253	340	253	313	340
39	253	313	253	340	253	313	340
40	254	315	254	340	254	315	340
41	254	315	254	340	254	315	340
42	254	315	254	340	254	315	340
43	254	315	254	340	254	315	340
44	254	315	254	340	254	315	340
45	254	315	254	340	254	315	340
46	254	315	254	340	254	315	340
47	254	315	254	340	254	315	340
48	254	315	254	340	254	315	340
49	254	315	254	340	254	315	340
50	254	316	254	340	254	316	340
51	254	316	254	340	254	316	340
52	254	315	254	340	254	315	340
53	254	315	254	340	254	315	340
54	254	315	254	340	254	315	340
55	254	315	254	340	254	315	340
56	254	315	254	340	254	315	340
57	254	315	254	340	254	315	340
58	254	315	254	340	254	315	340
59	254	315	254	340	254	315	340
60	254	315	254	340	254	315	340
61	254	315	254	340	254	315	340
62	254	315	254	340	254	315	340
63	254	315	254	340	254	315	340
64	254	315	254	340	254	315	340
65	254	315	254	340	254	315	340
66	254	315	254	340	254	315	340
67	254	315	254	340	254	315	340
68	254	315	254	340	254	315	340
69	254	315	254	340	254	315	340
70	254	315	254	340	254	315	340
71	254	315	254	340	254	315	340
72	254	315	254	340	254	315	340
73	254	315	254	340	254	315	340
74	254	315	254	340	254	315	340
75	254	315	254	340	254	315	340
76	254	315	254	340	254	315	340
77	254	315	254	340	254	315	340
78	254	315	254	340	254	315	340
79	254	315	254	340	254	315	340
80	254	315	254	340	254	315	340
81	254	315	254	340	254	315	340
82	254	315	254	340	254	315	340
83	254	315	254	340	254	315	340
84	254	315	254	340	254	315	340
85	254	315	254	340	254	315	340
86	254	315	254	340	254	315	340
87	254	315	254	340	254	315	340
88	254	315	254	340	254	315	340
89	254	315	254	340	254	315	340
90	254	315	254	340	254	315	340
91	254	315	254	340	254	315	340
92	254	315	254	340	254	315	340
93	254	315	254	340	254	315	340
94	254	315	254	340	254	315	340
95	254	315	254	340	254	315	340
96	254	315	254	340	254	315	340
97	254	315	254	340	254	315	340
98	254	315	254	340	254	315	340
99	254	315	254	340	254	315	340
100	254	315	254	340	254	315	340
101	254	315	254	340	254	315	340
102	254	315	254	340	254	315	340
103	254	315	254	340	254	315	340
104	254	315	254	340	254	315	340
105	254	315	254	340	254	315	340
106	254	315	254	340	254	315	340
107	254	315	254	340	254	315	340
108	254	315	254	340	254	315	340
109	254	315	254	340	254	315	340
110	254	315	254	340	254	315	340
111	254	315	254	340	254	315	340
112	254	315	254	340	254	315	340
113	254	315	254	340	254	315	340
114	254	315	254	340	254	315	340
115	254	315	254	340	254	315	340
116	254	315	254	340	254	315	340
117	254	315	254	340	254	315	340
118	254	315	254	340	254	315	340
119	254	315	254	340	254	315	340
120	254	315	254	340	254	315	340
121	254	315	254	340	254	315	340
122	254	315	254	340	254	315	340
123	254	315	254	340	254	315	340
124	254	315	254	340	254	315	340
125	254	315	254	340	254	315	340
126	254	315	254	340	254	315	340
127	254	315	254	340	254	315	340
128	254	315	254	340	254	315	340
129	254	315	254	340	254	315	340
130	254	315	254	340	254	315	340
131	254	315	254	340	254	315	340
132	254	315	254	340	254	315	340
133	254	315	254	340	254	315	340
134	254	315	254	340	254	315	340
135	254	315	254	340	254	315	340
136	254	315	254	340	254	315	340
137	254	315	254	340	254	315	340
138	254	315	254	340	254	315	340
139	254	315	254	340	254	315	340
140	254	315	254	340	254	315	340
141	254	315	254	340	254	315	340
142	254	315	254	340	254	315	340
143	254	315	254	340	254	315	340
144	254	315	254	340	254	315	340
145	255	316	255	340	255	316	340
146	255	316	255	340	255	316	340
147	255	316	255	340	255	316	340
148	255	316	255	340	255	316	340
149	255	316	255	340	255	316	340
150	255	316	255	340	255	316	340
151	255	316	255	340	255	316	340
152	255	316	255	340	255	316	340
153	255	316	255	340	255	316	340
154	255	316	255	340	255	316	340
155	255	316	255	340	255	316	340
156	255	316	255	340	255	316	340
157	255	316	255	340	255	316	340
158	255	316	255	340	255	316	340
159	255	316	255	340	255	316	340
160	255	316	255	340	255	316	340
161	255	316	255	340	255	316	340
162	255	316	255	340	255	316	340
163	255	316	255	340	255	316	340
164	255	316	255	340	255	316	340
165	255	316	255	340	255	316	340
166	255	316	255	340	255	316	340
167	255	316	255	340	255	316	340
168	255	316	255	340	255	316	340
169	255	315	255	340	255	315	340
170	255	314	255	340	255	314	340
171	255	314	255	340	255	314	340
172	255	313	255	340	255	313	340
173	256	314	256	340	256	314	340
174	256	313	256	340	256	313	340
175	256	313	256	340	256	313	340
176	256	312	256	340	256	312	340
177	256	311	256	340	256	311	340
178	256	311	256	340	256	311	340
179	256	311	256	340	256	311	340
180	256	311	256	340	256	311	340
181	256	311	256	340	256	311	340
182	256	311	256	340	256	311	340
183	256	311	256	340	256	311	340
184	256	311	256	340	256	311	340
185	256	311	256	340	256	311	340
186	256	311	256	340	256	311	340
187	256	311	256	340	256	311	340
188	256	311	256	340	256	311	340
189	256	311	256	340	256	311	340
190	256	311	256	340	256	311	340
191	256	311	256	340	256	311	340
192	256	311	256	340	256	311	340
193	256	311	256	340	256	311	340
194	256	310	256	340	256	310	340
195	256	311	256	340	256	311	340
196	256	311	256	340	256	311	340
197	256	307	256	340	256	307	340
198	256	307	256	340	256	307	340
199	256	306	256	340	256	306	340
200	255	304	255	340	255	304	340
201	255	304	255	340	255	304	340
202	255	304	255	340	255	304	340
203	255	305	255	340	255	305	340
204	255	303	255	340	255	303	340
205	255	302	255	340	255	302	340
206	255	301	255	340	255	301	340
207	255	301	255	340	255	301	340
208	255	300	255	340	255	300	340
209	255	300	255	340	255	300	340
210	255	300	255	340	255	300	340
211	255	300	255	340	255	300	340
212	255	300	255	340	255	300	340
213	255	300	255	340	255	300	340
214	255	300	255	340	255	300	340
215	255	300	255	340	255	300	340
216	255	300	255	340	255	300	340
217	255	300	255	340	255	300	340
218	255	300	255	340	255	300	340
219	255	299	255	340	255	299	340
220	255	299	255	340	255	299	340
221	255	299	255	340	255	299	340
222	255	299	255	340	255	299	340
223	255	299	255	340	255	299	340
224	255	299	255	340	255	299	340
225	255	299	255	340	255	299	340
226	255	299	255	340	255	299	340
227	255	299	255	340	255	299	340
228	255	299	255	340	255	299	340
229	255	297	255	340	255	297	340
230	255	298	255	340	255	298	340
231	255	298	255	340	255	298	340
232	255	298	255	340	255	298	340
233	255	298	255	340	255	298	340
234	255	298	255	340	255	298	340
235	255	297	255	340	255	297	340
236	255	297	255	340	255	297	340
237	255	297	255	340	255	297	340
238	255	297	255	340	255	297	340
239	255	297	255	340	255	297	340
240	255	297	255	340	255	297	340
241	255	297	255	340	255	297	340
242	255	297	255	340	255	297	340
243	255	297	255	340	255	297	340
244	255	297	255	340	255	297	340
245	255	297	255	340	255	297	340
246	255	297	255	340	255	297	340
247	255	297	255	340	255	297	340
248	255	297	255	340	255	297	340
249	255	297	255	340	255	297	340
250	255	297	255	340	255	297	340
251	255	297	255	340	255	297	340
252	255	297	255	340	255	297	340
253	255	295	255	340	255	295	340
254	255	294	255	340	255	294	340
255	255	294	255	340	255	294	340
256	255	295	255	340	255	295	340
257	255	294	255	340	255	294	340
258	255	294	255	340	255	294	340
259	255	294	255	340	255	294	340
260	255	294	255	340	255	294	340
261	255	294	255	340	255	294	340
262	255	294	255	340	255	294	340
263	255	294	255	340	255	294	340
264	254	293	254	340	254	293	340
265	254	293	254	340	254	293	340
266	254	293	254	340	254	293	340
267	254	292	254	340	254	292	340
268	254	292	254	340	254	292	340
269	254	292	254	340	254	292	340
270	254	292	254	340	254	292	340
271	254	292	254	340	254	292	340
272	254	292	254	340	254	292	340
273	254	292	254	340	254	292	340
274	254	292	254	340	254	292	340
275	254	292	254	340	254	292	340
276	254	292	254	340	254	292	340
277	254	292	254	340	254	292	340
278	254	292	254	340	254	292	340
279	255	293	255	340	255	293	340
280	255	293	255	340	255	293	340
281	255	293	255	340	255	293	340
282	255	293	255	340	255	293	340
283	255	293	255	340	255	293	340
284	255	293	255	340	255	293	340
285	255	293	255	340	255	293	340
286	255	293	255	340	255	293	340
287	255	293	255	340	255	293	340
288	255	293	255	340	255	293	340
289	255	293	255	340	255	293	340
290	255	293	255	340	255	293	340
291	255	293	255	340	255	293	340
292	255	293	255	340	255	293	340
293	255	293	255	340	255	293	340
294	256	294	256	340	256	294	340
295	256	294	256	340	256	294	340
296	256	294	256	340	256	294	340
297	257	295	257	340	257	295	340
298	257	295	257	340	257	295	340
299	257	295	257	340	257	295	340
300	257	295	257	340	257	295	340
301	256	294	256	340	256	294	340
302	256	294	256	340	256	294	340
303	257	295	257	340	257	295	340
304	257	295	257	340	257	295	340
305	257	295	257	340	257	295	340
306	257	295	257	340	257	295	340
307	257	295	257	340	257	295	340
308	257	295	257	340	257	295	340
309	257	295	257	340	257	295	340
310	257	295	257	340	257	295	340
311	257	295	257	340	257	295	340
312	257	295	257	340	257	295	340
313	258	296	258	340	258	296	340
314	258	296	258	340	258	296	340
315	257	295	257	340	257	295	340
316	258	296	258	340	258	296	340
317	258	296	258	340	258	296	340
318	259	297	259	340	259	297	340
319	259	297	259	340	259	297	340
320	259	297	259	340	259	297	340
321	259	297	259	340	259	297	340
322	259	297	259	340	259	297	340
323	259	297	259	340	259	297	340
324	258	295	258	340	258	295	340
325	258	295	258	340	258	295	340
326	258	295	258	340	258	295	340
327	258	295	258	340	258	295	340
328	258	295	258	340	258	295	340
329	258	295	258	340	258	295	340
330	258	295	258	340	258	295	340
331	258	295	258	340	258	295	340
332	258	295	258	340	258	295	340
333	258	295	258	340	258	295	340
334	258	295	258	340	258	295	340
335	258	295	258	340	258	295	340
336	258	295	258	340	258	295	340
337	258	295	258	340	258	295	340
338	258	295	258	340	258	295	340
339	258	295	258	340	258	295	340
340	258	295	258	340	258	295	340
341	259	296	259	340	259	296	340
342	259	296	259	340	259	296	340
343	260	298	260	340	260	298	340
344	260	297	260	340	260	297	340
345	260	297	260	340	260	297	340
346	259	296	259	340	259	296	340
347	259	296	259	340	259	296	340
348	259	296	259	340	259	296	340
349	259	296	259	340	259	296	340
350	259	296	259	340	259	296	340
351	259	296	259	340	259	296	340
352	259	296	259	340	259	296	340
353	259	296	259	340	259	296	340
354	260	297	260	340	260	297	340
355	260	297	260	340	260	297	340
356	260	297	260	340	260	297	340
357	260	297	260	340	260	297	340
358	260	297	260	340	260	297	340
359	260	297	260	340	260	297	340
360	260	297	260	340	260	297	340
361	261	298	261	340	261	298	340
362	261	298	261	340	261	298	340
363	261	298	261	340	261	298	340
364	261	298	261	340	261	298	340
365	261	298	261	340	261	298	340
366	261	298	261	340	261	298	340
367	261	298	261	340	261	298	340
368	261	298	261	340	261	298	340
369	261	298	261	340	261	298	340
370	261	298	261	340	261	298	340
371	261	298	261	340	261	298	340
372	261	298	261	340	261	298	340
373	261	298	261	340	261	298	340
374	261	298	261	340	261	298	340
375	261	298	261	340	261	298	340
376	261	298	261	340	261	298	340
377	261	299	261	340	261	299	340
378	263	300	263	340	263	300	340
379	263	300	263	340	263	300	340
380	263	301	263	340	263	301	340
381	263	301	263	340	263	301	340
382	263	301	263	340	263	301	340
383	263	300	263	340	263	300	340
384	263	300	263	340	263	300	340
385	263	300	263	340	263	300	340
386	262	299	262	340	262	299	340
387	262	299	262	340	262	299	340
388	262	299	262	340	262	299	340
389	262	299	262	340	262	299	340
390	262	299	262	340	262	299	340
391	262	299	262	340	262	299	340
392	262	299	262	340	262	299	340
393	262	299	262	340	262	299	340
394	262	299	262	340	262	299	340
395	262	299	262	340	262	299	340
396	262	299	262	340	262	299	340
397	262	299	262	340	262	299	340
398	262	299	262	340	262	299	340
399	262	299	262	340	262	299	340
400	262	299	262	340	262	299	340
401	262	299	262	340	262	299	340
402	262	299	262	340	262	299	340
403	262	299	262	340	262	299	340
404	262	299	262	340	262	299	340
405	262	299	262	340	262	299	340
406	262	299	262	340	262	299	340
407	262	299	262	340	262	299	340
408	262	299	262	340	262	299	340
409	262	299	262	340	262	299	340
410	262	299	262	340	262	299	340
411	262	299	262	340	262	299	340
412	262	299	262	340	262	299	340
413	262	299	262	340	262	299	340
414	262	299	262	340	262	299	340
415	262	299	262	340	262	299	340
416	262	299	262	340	262	299	340
417	262	299	262	340	262	299	340
418	262	299	262	340	262	299	340
419	262	299	262	340	262	299	340
420	262	299	262	340	262	299	340
421	262	299	262	340	262	299	340
422	262	299	262	340	262	299	340
423	262	299	262	340	262	299	340
424	262	299	262	340	262	299	340
425	262	299	262	340	262	299	340
426	262	298	262	340	262	298	340
427	264	300	264	340	264	300	340
428	263	299	263	340	263	299	340
429	263	299	263	340	263	299	340
430	263	299	263	340	263	299	340
431	263	299	263	340	263	299	340
432	263	299	263	340	263	299	340
433	263	299	263	340	263	299	340
434	263	299	263	340	263	299	340
