iter	Passed	Remaining
0	26	26451
1	50	25317
2	83	27870
3	111	27778
4	131	26181
5	154	25661
6	179	25421
7	234	29080
8	257	28299
9	293	29085
10	299	26884
11	321	26453
12	343	26082
13	371	26157
14	417	27418
15	434	26747
16	457	26463
17	477	26049
18	491	25398
19	501	24590
20	519	24227
21	534	23762
22	543	23106
23	555	22576
24	572	22317
25	596	22333
26	614	22131
27	636	22092
28	657	22016
29	673	21787
30	687	21498
31	711	21521
32	736	21583
33	743	21131
34	770	21242
35	772	20697
36	793	20657
37	811	20545
38	830	20455
39	855	20543
40	882	20643
41	915	20877
42	941	20946
43	962	20904
44	985	20917
45	1012	20990
46	1037	21045
47	1062	21082
48	1090	21161
49	1098	20866
50	1106	20580
51	1124	20500
52	1150	20563
53	1204	21092
54	1243	21372
55	1269	21399
56	1282	21218
57	1306	21225
58	1322	21098
59	1350	21164
60	1371	21104
61	1393	21088
62	1420	21132
63	1436	21003
64	1464	21070
65	1484	21004
66	1515	21108
67	1541	21127
68	1572	21221
69	1600	21267
70	1609	21059
71	1628	20985
72	1642	20858
73	1666	20848
74	1687	20809
75	1703	20708
76	1728	20721
77	1747	20656
78	1776	20711
79	1798	20679
80	1805	20483
81	1820	20376
82	1845	20393
83	1892	20634
84	1910	20570
85	1927	20486
86	1948	20449
87	1976	20487
88	1998	20456
89	2023	20459
90	2049	20476
91	2074	20469
92	2098	20469
93	2116	20402
94	2142	20410
95	2168	20424
96	2198	20470
97	2218	20423
98	2239	20385
99	2254	20293
100	2270	20208
101	2286	20130
102	2307	20092
103	2327	20055
104	2350	20038
105	2381	20087
106	2403	20059
107	2429	20063
108	2449	20020
109	2468	19975
110	2471	19794
111	2494	19777
112	2506	19678
113	2522	19604
114	2527	19451
115	2546	19407
116	2565	19363
117	2591	19373
118	2615	19361
119	2637	19341
120	2663	19347
121	2678	19273
122	2703	19275
123	2731	19298
124	2747	19232
125	2775	19254
126	2801	19256
127	2828	19270
128	2854	19276
129	2876	19251
130	2902	19253
131	2928	19257
132	2955	19264
133	2958	19117
134	2979	19089
135	2999	19057
136	3023	19042
137	3047	19034
138	3067	18998
139	3086	18960
140	3105	18921
141	3127	18896
142	3142	18832
143	3166	18823
144	3188	18802
145	3210	18780
146	3233	18765
147	3257	18750
148	3283	18754
149	3311	18763
150	3331	18732
151	3355	18719
152	3389	18761
153	3421	18794
154	3440	18756
155	3452	18676
156	3475	18661
157	3498	18645
158	3514	18590
159	3537	18572
160	3561	18557
161	3577	18504
162	3595	18464
163	3618	18442
164	3623	18335
165	3641	18293
166	3664	18280
167	3688	18266
168	3713	18260
169	3740	18261
170	3771	18282
171	3797	18278
172	3826	18293
173	3853	18291
174	3879	18287
175	3898	18253
176	3918	18221
177	3943	18209
178	3967	18195
179	3985	18157
180	4001	18106
181	4004	17997
182	4020	17950
183	4038	17909
184	4057	17875
185	4080	17856
186	4093	17796
187	4114	17772
188	4139	17761
189	4153	17705
190	4171	17668
191	4193	17648
192	4215	17627
193	4233	17590
194	4257	17577
195	4282	17568
196	4305	17550
197	4318	17491
198	4337	17458
199	4353	17415
200	4386	17438
201	4409	17419
202	4421	17360
203	4448	17357
204	4469	17331
205	4496	17330
206	4517	17306
207	4542	17296
208	4562	17266
209	4577	17219
210	4595	17184
211	4610	17136
212	4627	17098
213	4649	17075
214	4665	17034
215	4692	17032
216	4709	16991
217	4718	16926
218	4740	16905
219	4758	16872
220	4770	16817
221	4793	16798
222	4819	16791
223	4841	16773
224	4868	16769
225	4892	16756
226	4917	16746
227	4937	16717
228	4959	16696
229	4968	16634
230	4989	16611
231	5008	16578
232	5027	16548
233	5043	16510
234	5060	16474
235	5086	16467
236	5105	16436
237	5125	16410
238	5131	16339
239	5147	16300
240	5162	16259
241	5186	16246
242	5210	16230
243	5234	16219
244	5262	16218
245	5287	16205
246	5310	16190
247	5335	16177
248	5340	16108
249	5367	16103
250	5401	16118
251	5422	16094
252	5447	16084
253	5469	16062
254	5493	16050
255	5513	16023
256	5531	15990
257	5554	15974
258	5578	15958
259	5604	15950
260	5626	15929
261	5643	15896
262	5665	15877
263	5687	15856
264	5696	15798
265	5711	15759
266	5716	15694
267	5737	15669
268	5752	15631
269	5774	15612
270	5797	15595
271	5824	15590
272	5852	15584
273	5881	15582
274	5906	15571
275	5928	15552
276	5950	15532
277	5976	15520
278	5998	15502
279	6024	15492
280	6059	15504
281	6083	15488
282	6118	15500
283	6145	15494
284	6167	15473
285	6185	15443
286	6194	15388
287	6223	15384
288	6255	15389
289	6273	15358
290	6299	15347
291	6322	15329
292	6342	15305
293	6359	15272
294	6398	15290
295	6427	15287
296	6450	15268
297	6473	15249
298	6495	15227
299	6520	15214
300	6541	15189
301	6564	15171
302	6590	15159
303	6604	15121
304	6629	15106
305	6651	15085
306	6672	15061
307	6690	15032
308	6712	15011
309	6735	14992
310	6761	14979
311	6783	14958
312	6808	14944
313	6830	14923
314	6856	14909
315	6862	14854
316	6885	14836
